"sub","reward_self","effort_self","reward_other","effort_other","diff_effort","diff_reward"
"7803",-0.0250552886776484,-0.21769986385178,0.279820591949213,-0.726257715217844,-0.508557851366064,0.304875880626862
"7875",1.02624053206795,0.0693337183476472,0.19434297798704,-0.212634617683949,-0.281968336031596,-0.831897554080907
"7927",1.03017372325152,0.140791633173038,0.164381528907655,-0.0973407445612392,-0.238132377734277,-0.865792194343866
"7937",1.02854636564884,0.0626329913804289,0.363144120253817,0.0890369158361384,0.0264039244557095,-0.665402245395021
"8228",0.509832605047943,-0.165315114001237,0.311033631278824,-0.847029637207878,-0.681714523206641,-0.198798973769119
"8251",1.02624053206795,0.0693337183476472,0.343085851900338,-0.531031966155385,-0.600365684503033,-0.683154680167609
"8604",1.02431949182945,0.0569239608176832,0.189024563981504,-0.20174732745181,-0.258671288269493,-0.83529492784795
"8704",1.14533660647807,-0.284464564613157,0.301677771218959,-0.784922753646314,-0.500458189033157,-0.843658835259108
"8925",0.753122670638448,-0.365543604698488,0.25732164322826,-0.619841785494006,-0.254298180795517,-0.495801027410189
"8949",0.726201177707602,0.0671575352383554,0.20195249260187,-0.761381787290446,-0.828539322528801,-0.524248685105732
"8987",1.30628208869692,-0.300774949583658,0.467255654063464,0.155341154979249,0.456116104562907,-0.839026434633452
"9045",1.86031818780401,-0.177817456741369,0.659847861657021,-0.252575112946682,-0.0747576562053131,-1.20047032614699
"9203",1.03341088811833,0.143646847704771,0.160008428382097,-0.0834767608570748,-0.227123608561846,-0.873402459736238
"9350",1.03341088811833,0.143646847704771,0.160008428382097,-0.0834767608570748,-0.227123608561846,-0.873402459736238
"9477",1.02469312562528,0.0455789048369295,0.193848950606398,-0.225289205625417,-0.270868110462346,-0.830844175018879
"9585",1.02624053206795,0.0693337183476472,0.188379526931194,-0.195560276648439,-0.264893994996087,-0.837861005136753
"9593",0.232115009385552,-0.233325986879191,0.189835441153331,-0.201454037715488,0.0318719491637038,-0.0422795682322211
"9620",1.17247063766243,0.0610361064139856,0.137234357727392,-0.662651329821634,-0.72368743623562,-1.03523627993504
"9779",0.614014416587213,0.0988006215694528,0.0789021030255675,-0.842423354075027,-0.941223975644479,-0.535112313561645
