ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
2899,0,0.00883550258349915,0.13155722929607,0.738679620796325,0.122721726712571,1,0.526315789473684,0.0390702666382047,0.601942099710172,0.892116378026819,0.562871833071968,1,0.526315789473684,0.0620366619977169,0.819611973253297,1.68892145223297,0.757575311255581,1,0.526315789473684
2959,0,0.00852975762165589,0.11645002296283,0.713003194502842,0.107920265341175,0.954545454545455,0.476190476190476,0.0409307844343847,0.569727439549301,0.888223169355065,0.528796655114916,0.954545454545455,0.476190476190476,0.0656378772674579,0.731064406530958,1.48018942579824,0.6654265292635,0.954545454545455,0.476190476190476
2998,0,0.0193084459591956,0.176482246974634,0.827621562627525,0.157173801015439,0.75,0.333333333333333,0.189805047388171,0.725276816268913,1.21404559098167,0.535471768880742,0.75,0.333333333333333,0.208384206093678,0.880505190600954,2.68506661447626,0.672120984507276,0.75,0.333333333333333
3103,1,0.0116569069105538,0.100642252544331,0.987016618965995,0.0889853456337769,0.875,0.7,0.0556921243434053,0.444882001873445,1.09978922048076,0.38918987753004,0.875,0.7,0.0866986525265545,0.474990314940839,2.02331660258936,0.388291662414284,0.875,0.7
3178,1,0.0164141291925323,0.0162348157379601,1.19134768962809,-0.000179313454572182,0.869565217391304,0.958333333333333,0.0872766379204153,0.0739273830514257,1.25254113826952,-0.0133492548689895,0.869565217391304,0.958333333333333,0.103138030624931,0.0604408147592389,1.6747963909025,-0.0426972158656922,0.869565217391304,0.958333333333333
3210,1,0.00667570042039658,0.0228082500455748,1.24115747898091,0.0161325496251782,1,0.909090909090909,0.029137173263538,0.126869379726554,1.32438456822825,0.0977322064630158,1,0.909090909090909,0.0319782195679082,0.158080001493871,1.86487531154799,0.126101781925963,1,0.909090909090909
3228,1,0.00801454377619853,0.0214505649102538,1.24231341858182,0.0134360211340553,0.958333333333333,0.91304347826087,0.0355819345037836,0.108537445405336,1.30205513227192,0.0729555109015523,0.958333333333333,0.91304347826087,0.0467135148137712,0.120267553013441,1.7813504046164,0.0735540381996702,0.958333333333333,0.91304347826087
3472,0,0.00817073456150643,0.0235160993080082,1.6924486576894,0.0153453647465018,1,0.958333333333333,0.0382848941371155,0.0957045101934401,1.72029342772218,0.0574196160563246,1,0.958333333333333,0.0639059907682355,0.0674550075161825,2.27022855555903,0.00354901674794701,1,0.958333333333333
3624,0,0.110015624104704,0.149072572858722,1.38419952987851,0.039056948754018,0.666666666666667,0.434782608695652,0.482954572416362,0.62755629435899,2.09983789881772,0.144601721942628,0.666666666666667,0.434782608695652,0.449496271279342,0.657337082652202,4.53568254714391,0.20784081137286,0.666666666666667,0.434782608695652
3771,1,0.00788778365638652,0.0175217415282693,1.02665954625118,0.00963395787188275,0.956521739130435,0.956521739130435,0.0363672006055262,0.0823431236708554,1.06282909702071,0.0459759230653292,0.956521739130435,0.956521739130435,0.0539483100454566,0.0671047822205062,1.31508633679362,0.0131564721750496,0.956521739130435,0.956521739130435
